Site;Animal order;Animal family;Animal species ;Animal code;Origin;No. of visits;Probed flowers ;la
R;;;Pachycerina crinicornis;107;E;288;3.03 ± 0.14;35
U;;;;;;87;2.91 ± 0.27;21
R;;;Sapromyza sp near nudiuscula ;127;Un;9;4.33 ± 1.41;5
U;;;;;;4;1.50 ± 0.29;4
R;;Limoniidae;Limonia (Dycranomia) sp;78;Un;1;1.00;1
R;;;Limoniidae sp;79;Un;1;2.00;1
U;;Muscidae;Atherigona orientalis;14;N;1;2.00;1
R;;;Atherigona sp;15;Un;1;3.00;1
R;;;Graphomya maculata;62;N;18;2.67 ± 0.89;7
U;;;;;;1;1.00;1
U;;;Hydrotaea fuliginosa;70;N;2;3.00 ± 0.00;1
R;;;Limnophora quaterna;77;I;4;1.75 ± 0.25;2
U;;;;;;1;1.00;1
U;Diptera;Muscidae;Musca confiscate;95;N;1;3.00;1
R;;;Musca domestica;96;I;133;3.35 ± 0.30;23
U;;;;;;132;4.98 ± 0.57;20
R;;;Ophyra capensis;103;I;24;3.33 ± 0.48;8
U;;;;;;33;5.67 ± 1.05;8
R;;;Orchisia costata ;104;N;2;1.00 ± 0.00;2
U;;;;;;2;2.00 ± 1.00;2
R;;;Orthellia albigena;106;N;9;4.00 ± 1.21;7
U;;;;;;13;2.69 ± 0.56;3
R;;;Spilogona sp ;140;Un;1;2.00;1
R;;;Stomoxys calcitrans;143;I;48;2.10 ± 0.31;13
U;;;;;;38;4.32 ± 0.68;10
R;;;Stomoxys niger;144;I;47;1.98 ± 0.32;10
U;;;;;;22;2.50 ± 0.35;7
R;;Mycetophilidae;Lygistorrhina sp;85;N;43;5.58 ± 0.66;9
U;;;;;;56;3.61 ± 0.55;11
R;;Sarcophagidae;Sarcophaga arno;128;I;9;5.00 ± 1.27;6
U;;;;;;9;3.00 ± 1.04;7
R;;Scatopsidae;Scatopsidae sp;130;Un;1;3.00;1
U;;;;;;1;2.00;1
R;;Sepsidae;Sepsis lateralis;136;I;10;4.10 ± 1.03;3
R;;Simuliidae;Simulium (Byssodon) sp 2;137;I;1;6.00;1
U;;;;;;1;1.00;1
R;;;Simulium sp;138;Un;1;2.00;1
R;;Syrphidae;Allograpta nasuta;8;N;42;3.74 ± 0.62;20
U;;;;;;63;4.48 ± 0.56;20
R;;;Allograpta sp 1;9;Un;1;3.00;1
R;Diptera;Syrphidae;Allograpta sp 2;10;Un;4;3.75 ± 1.80;1
R;;;Episyrphus sp near circularis;50;N;24;4.38 ± 0.98;13
U;;;;;;22;2.50 ± 0.55;12
R;;;Eristalinus flaveolus;51;N;51;3.35 ± 0.34;18
U;;;;;;27;4.22 ± 0.80;11
R;;;Ischiodon aegyptius;72;I;21;3.43 ± 0.69;12
U;;;;;;17;3.88 ± 1.37;7
R;;;Melanostoma annulipes;89;N;72;1.88 ± 0.21;12
U;;;;;;35;1.91 ± 0.20;10
R;;;Melanostoma bituberculatum ;90;I;14;4.14 ± 0.63;6
U;;;;;;10;4.30 ± 1.05;6
R;;;Ornidia obesa ;105;I;21;2.76 ± 0.56;13
U;;;;;;8;6.00 ± 1.43;8
R;;;Paragus borbonicus;112;I;75;4.80 ± 0.55;21
U;;;;;;15;4.13 ± 1.44;9
