Species name,Agauria salicifolia,Antidesma madagascariense,Antirhea borbonica,Aphloia theiformis,Badula insularis,Badula platiphylla,Bakerella hoyifolia ssp bojeri,Bertiera zaluzania ,Calophyllum eputamen var eputamen,Casearia coriacea,Chassalia coriacea var coriacea,Chassalia petrinensis,Claoxylon linostachys ssp brachyphyllum,Coffea macrocarpa,Coffea mauritiana,Colea colei,Cordemoya integrifolia,Croton fothergillifolius,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum var apetalum,Dracaena reflexa var angustifolia,Embelia angustifolia,Erythrospermum monticolum var monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia chapelieri var chapelieri,Euodia obtusifolia ssp gigas var brachypoda,Euodia obtusifolia ssp gigas var gigas,Faujasiopsis flexuosa ssp erecta,Flagellaria indica,Gaertnera petrinensis,Gaertnera psychotrioides/edentata,Gaertnera rotundifolia,Geniostoma borbonicum,Grangeria borbonica,Helichrysum proteoides,Labourdonnaisia callophylloides,Memecylon ovatifolium,Mimusops erythroxylon,Molinaea alternifolia,Monimiastrum globosum,Ochna mauritiana,Ocotea laevigata,Olea lancea,Pandanus barklyi var barklyi,Pandanus rigidifolius,Pandanus wiehii,Phyllanthus phillyreifolius var telfairianus,Pittosporum senacia,Pleurostylia leucocarpa ,Polyscias mauritiana,Psiadia terebinthina,Pyrostria fasciculata,Roussea simplex ,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata ssp lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium mauritianum,Syzygium petrinese,Syzygium venosum,Tabernaemontana persicarifolia,Tambourissa peltata,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Xylopia lamarckii,Xyris sp
Psilopa iceryae Cresson,0,0.007407407,0.057808696,0,0,0,0,0,0,0,0,0,0,0.003652174,0,0,0,0,0,0,0,0,0,0.003663768,0,0,0,0,0,0.00410628,0,0,0,0,0,0,0.060362319,0,0,0,0,0,0,0,0.00236715,0,0,0,0.034901961,0,0,0,0.092866345,0,0,0,0.001623188,0,0,0,0,0,0,0,0,0,0,0.035710146,0,0,0,0,0,0
Sapromyza sp. near nudiuscula Lamb.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002487144,0,0,0,0,0,0,0,0,0.005072464,0,0,0,0,0,0,0,0,0.417898551,0,0,0.002705314,0,0,0.022434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarcophaga arno Curran ,0,0,0,0,0,0,0,0,0,0,0,0,0.005574879,0,0,0,0,0.009545894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002487144,0,0,0,0,0,0,0,0.018925831,0,0,0,0,0,0,0,0,0,0,0,0,0.003985507,0,0,0,0,0.013065775,0,0,0,0,0,0,0,0,0,0,0,0,0
Scatopsidae sp,0,0.004444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sepsis lateralis Wiedemann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001352657,0,0.299130435,0,0,0,0,0,0,0,0,0.004605302,0,0,0,0,0,0
Simulium (Byssodon) sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simulium sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siphona sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033904762,0,0,0,0,0,0,0,0,0,0.044869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spilogona sp ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001275362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stomorhina lunata Fabricius,0.003285024,0.008253968,0,8.086489063,0.014397076,0.002202898,0,0.005700483,0.005565217,0,0.069620428,0,0,0.00146087,0.00115942,0,0,0.667096442,0.00057971,0,0,0.022214399,0.005478261,0.005387894,0.061228626,0,0,0,0,0.006077295,0.000565717,0,0,0,0.112352563,0.000724638,0,0,0.007103115,0,0.200188508,0.00057971,0,0,0,0.011014492,0.000269151,0,0,0,0.00013285,0.00057971,8.10132789,0,0,0.038739699,0.030231884,0,0.252391304,0,0.040588744,0.001036658,0,0,0.00179434,0,0,0.086644485,0,0,0,0,0,0
Stomoxys calcitrans Linnaeus,0.003285024,0,0.040144928,0.777901939,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211787341,0,0,0,0,0,0,0.025953234,0,0.007304348,0,0,0,0,0,0,0,0.024672464,0,0,0,0,0,0.017111111,0,0,0,0,0,0,0,0,0,0,0,1.286198873,0,0,0.006183575,0.002705314,0,0.186956522,0,0,0,0,0,0,0,0,0.001352657,0,0,0,0,0,0
Stomoxys niger Macquart,0,0.000987654,0,0.880014864,0,0,0,0,0,0,0,0,0.033449275,0,0,0,0,0.032774152,0,0,0,0,0,0,0.012882448,0,0,0,0,0,0,0,0,0,0.206220703,0,0,0,0,0,0.01154321,0,0,0,0,0,0,0,0,0,0,0,0.111439614,0,0,0.008082126,0,0,0,0,0,0,0,0,0,0,0,0.000507246,0,0,0,0,0,0
Syritta nigrofemorata Macquart,0,0,0,0.219400966,0,0,0,0,0,0,0.008997101,0,0.005574879,0,0,0,0,0.016563513,0,0,0,0.003864734,0,0,0.016798419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453187762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003266172,0,0,0,0,0,0
Syritta sp. (near abyssinica Rondani),0.006570048,0,0,0,0,0,0,0,0,0,0,0,0.005574879,0,0,0,0,0.019887279,0,0,0,0,0,0.002693947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265701,0,0,0,0,0,0,0,0.056086957,0,0.064853755,0,0,0,0,0,0,0,0,0,0,0,0,0
Thelairodrino sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trirhithrum sp. near nigerrimum Bezzi,0,0,0,0,0.00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000531401,0,0,0,0,0,0,0,0.373913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
